CUR YYYY-MM-DD
--------------

SEK 1996-01-06
SEK 1996-01-07
SEK 1996-01-13
SEK 1996-01-14
SEK 1996-01-20
SEK 1996-01-21
SEK 1996-01-27
SEK 1996-01-28
SEK 1996-02-03
SEK 1996-02-04
SEK 1996-02-10
SEK 1996-02-11
SEK 1996-02-17
SEK 1996-02-18
SEK 1996-02-24
SEK 1996-02-25
SEK 1996-03-02
SEK 1996-03-03
SEK 1996-03-09
SEK 1996-03-10
SEK 1996-03-16
SEK 1996-03-17
SEK 1996-03-23
SEK 1996-03-24
SEK 1996-03-30
SEK 1996-03-31
SEK 1996-04-06
SEK 1996-04-07
SEK 1996-04-13
SEK 1996-04-14
SEK 1996-04-20
SEK 1996-04-21
SEK 1996-04-27
SEK 1996-04-28
SEK 1996-05-04
SEK 1996-05-05
SEK 1996-05-11
SEK 1996-05-12
SEK 1996-05-18
SEK 1996-05-19
SEK 1996-05-25
SEK 1996-05-26
SEK 1996-06-01
SEK 1996-06-02
SEK 1996-06-08
SEK 1996-06-09
SEK 1996-06-15
SEK 1996-06-16
SEK 1996-06-22
SEK 1996-06-23
SEK 1996-06-29
SEK 1996-06-30
SEK 1996-07-06
SEK 1996-07-07
SEK 1996-07-13
SEK 1996-07-14
SEK 1996-07-20
SEK 1996-07-21
SEK 1996-07-27
SEK 1996-07-28
SEK 1996-08-03
SEK 1996-08-04
SEK 1996-08-10
SEK 1996-08-11
SEK 1996-08-17
SEK 1996-08-18
SEK 1996-08-24
SEK 1996-08-25
SEK 1996-08-31
SEK 1996-09-01
SEK 1996-09-07
SEK 1996-09-08
SEK 1996-09-14
SEK 1996-09-15
SEK 1996-09-21
SEK 1996-09-22
SEK 1996-09-28
SEK 1996-09-29
SEK 1996-10-05
SEK 1996-10-06
SEK 1996-10-12
SEK 1996-10-13
SEK 1996-10-19
SEK 1996-10-20
SEK 1996-10-26
SEK 1996-10-27
SEK 1996-11-02
SEK 1996-11-03
SEK 1996-11-09
SEK 1996-11-10
SEK 1996-11-16
SEK 1996-11-17
SEK 1996-11-23
SEK 1996-11-24
SEK 1996-11-30
SEK 1996-12-01
SEK 1996-12-07
SEK 1996-12-08
SEK 1996-12-14
SEK 1996-12-15
SEK 1996-12-21
SEK 1996-12-22
SEK 1996-12-28
SEK 1996-12-29
SEK 1997-01-04
SEK 1997-01-05
SEK 1997-01-11
SEK 1997-01-12
SEK 1997-01-18
SEK 1997-01-19
SEK 1997-01-25
SEK 1997-01-26
SEK 1997-02-01
SEK 1997-02-02
SEK 1997-02-08
SEK 1997-02-09
SEK 1997-02-15
SEK 1997-02-16
SEK 1997-02-22
SEK 1997-02-23
SEK 1997-03-01
SEK 1997-03-02
SEK 1997-03-08
SEK 1997-03-09
SEK 1997-03-15
SEK 1997-03-16
SEK 1997-03-22
SEK 1997-03-23
SEK 1997-03-29
SEK 1997-03-30
SEK 1997-04-05
SEK 1997-04-06
SEK 1997-04-12
SEK 1997-04-13
SEK 1997-04-19
SEK 1997-04-20
SEK 1997-04-26
SEK 1997-04-27
SEK 1997-05-03
SEK 1997-05-04
SEK 1997-05-10
SEK 1997-05-11
SEK 1997-05-17
SEK 1997-05-18
